system:index,cropland,d0_B11,d0_B12,d0_B2,d0_B3,d0_B4,d0_B5,d0_B6,d0_B7,d0_B8,d0_B8A,d10_B11,d10_B12,d10_B2,d10_B3,d10_B4,d10_B5,d10_B6,d10_B7,d10_B8,d10_B8A,d11_B11,d11_B12,d11_B2,d11_B3,d11_B4,d11_B5,d11_B6,d11_B7,d11_B8,d11_B8A,d12_B11,d12_B12,d12_B2,d12_B3,d12_B4,d12_B5,d12_B6,d12_B7,d12_B8,d12_B8A,d13_B11,d13_B12,d13_B2,d13_B3,d13_B4,d13_B5,d13_B6,d13_B7,d13_B8,d13_B8A,d14_B11,d14_B12,d14_B2,d14_B3,d14_B4,d14_B5,d14_B6,d14_B7,d14_B8,d14_B8A,d15_B11,d15_B12,d15_B2,d15_B3,d15_B4,d15_B5,d15_B6,d15_B7,d15_B8,d15_B8A,d16_B11,d16_B12,d16_B2,d16_B3,d16_B4,d16_B5,d16_B6,d16_B7,d16_B8,d16_B8A,d17_B11,d17_B12,d17_B2,d17_B3,d17_B4,d17_B5,d17_B6,d17_B7,d17_B8,d17_B8A,d18_B11,d18_B12,d18_B2,d18_B3,d18_B4,d18_B5,d18_B6,d18_B7,d18_B8,d18_B8A,d19_B11,d19_B12,d19_B2,d19_B3,d19_B4,d19_B5,d19_B6,d19_B7,d19_B8,d19_B8A,d1_B11,d1_B12,d1_B2,d1_B3,d1_B4,d1_B5,d1_B6,d1_B7,d1_B8,d1_B8A,d20_B11,d20_B12,d20_B2,d20_B3,d20_B4,d20_B5,d20_B6,d20_B7,d20_B8,d20_B8A,d21_B11,d21_B12,d21_B2,d21_B3,d21_B4,d21_B5,d21_B6,d21_B7,d21_B8,d21_B8A,d22_B11,d22_B12,d22_B2,d22_B3,d22_B4,d22_B5,d22_B6,d22_B7,d22_B8,d22_B8A,d23_B11,d23_B12,d23_B2,d23_B3,d23_B4,d23_B5,d23_B6,d23_B7,d23_B8,d23_B8A,d24_B11,d24_B12,d24_B2,d24_B3,d24_B4,d24_B5,d24_B6,d24_B7,d24_B8,d24_B8A,d25_B11,d25_B12,d25_B2,d25_B3,d25_B4,d25_B5,d25_B6,d25_B7,d25_B8,d25_B8A,d26_B11,d26_B12,d26_B2,d26_B3,d26_B4,d26_B5,d26_B6,d26_B7,d26_B8,d26_B8A,d27_B11,d27_B12,d27_B2,d27_B3,d27_B4,d27_B5,d27_B6,d27_B7,d27_B8,d27_B8A,d28_B11,d28_B12,d28_B2,d28_B3,d28_B4,d28_B5,d28_B6,d28_B7,d28_B8,d28_B8A,d29_B11,d29_B12,d29_B2,d29_B3,d29_B4,d29_B5,d29_B6,d29_B7,d29_B8,d29_B8A,d2_B11,d2_B12,d2_B2,d2_B3,d2_B4,d2_B5,d2_B6,d2_B7,d2_B8,d2_B8A,d30_B11,d30_B12,d30_B2,d30_B3,d30_B4,d30_B5,d30_B6,d30_B7,d30_B8,d30_B8A,d31_B11,d31_B12,d31_B2,d31_B3,d31_B4,d31_B5,d31_B6,d31_B7,d31_B8,d31_B8A,d32_B11,d32_B12,d32_B2,d32_B3,d32_B4,d32_B5,d32_B6,d32_B7,d32_B8,d32_B8A,d33_B11,d33_B12,d33_B2,d33_B3,d33_B4,d33_B5,d33_B6,d33_B7,d33_B8,d33_B8A,d34_B11,d34_B12,d34_B2,d34_B3,d34_B4,d34_B5,d34_B6,d34_B7,d34_B8,d34_B8A,d35_B11,d35_B12,d35_B2,d35_B3,d35_B4,d35_B5,d35_B6,d35_B7,d35_B8,d35_B8A,d3_B11,d3_B12,d3_B2,d3_B3,d3_B4,d3_B5,d3_B6,d3_B7,d3_B8,d3_B8A,d4_B11,d4_B12,d4_B2,d4_B3,d4_B4,d4_B5,d4_B6,d4_B7,d4_B8,d4_B8A,d5_B11,d5_B12,d5_B2,d5_B3,d5_B4,d5_B5,d5_B6,d5_B7,d5_B8,d5_B8A,d6_B11,d6_B12,d6_B2,d6_B3,d6_B4,d6_B5,d6_B6,d6_B7,d6_B8,d6_B8A,d7_B11,d7_B12,d7_B2,d7_B3,d7_B4,d7_B5,d7_B6,d7_B7,d7_B8,d7_B8A,d8_B11,d8_B12,d8_B2,d8_B3,d8_B4,d8_B5,d8_B6,d8_B7,d8_B8,d8_B8A,d9_B11,d9_B12,d9_B2,d9_B3,d9_B4,d9_B5,d9_B6,d9_B7,d9_B8,d9_B8A,.geo
55,1,2349.0,1760.0,571.0,770.0,1052.0,1174.0,1263.0,1391.0,1566.0,1526.0,5265.0,4501.0,1380.0,1916.0,2355.0,2828.0,3335.0,3586.0,3824.0,3842.0,2642.0,1772.0,632.0,885.0,1043.0,1365.0,1855.0,2060.0,2218.0,2261.0,787.0,418.0,480.0,473.0,346.0,500.0,1043.0,1306.0,1333.0,1313.0,3726.0,2660.0,1650.0,1840.0,1851.0,2330.0,3543.0,4191.0,4344.0,4398.0,2177.0,1164.0,409.0,601.0,416.0,796.0,3118.0,4834.0,4897.0,4983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,671.0,255.0,392.0,212.0,515.0,2643.0,4413.0,4407.0,4570.0,2688.5,1637.0,1276.0,1418.5,1228.5,1665.5,3625.5,5151.5,5009.5,5434.0,1209.0,517.0,238.0,367.5,207.0,463.5,1966.5,3098.0,3240.0,3229.5,1729.0,719.0,355.0,566.0,332.0,751.0,2921.0,4427.0,4334.0,4627.0,2711.0,2318.0,660.0,898.0,1201.0,1355.0,1431.0,1535.0,1748.0,1723.0,2001.0,903.0,578.0,834.5,559.0,1148.0,2898.0,3818.0,3747.5,4177.5,1976.0,1101.0,476.0,693.0,644.0,1094.0,1832.0,2147.0,2205.0,2376.0,3303.0,2269.0,574.0,773.0,1164.0,1481.0,1596.0,1867.0,2013.0,2272.0,4861.0,3849.0,1377.0,1807.0,2307.0,2768.0,2983.0,3198.0,3178.0,3558.0,4376.0,3561.0,1985.0,2236.0,2474.0,2943.0,3340.5,3507.0,3643.5,3713.5,4492.0,3273.0,1259.0,1635.0,1882.0,2442.0,2906.0,3158.0,3172.0,3517.0,2630.5,1816.5,548.0,868.5,988.0,1407.5,1834.0,2013.5,2168.0,2211.5,2964.0,2065.0,520.0,925.0,882.0,1451.0,2131.0,2346.0,2421.0,2545.0,3541.5,2876.0,814.5,1135.5,1529.0,1829.5,2004.5,2188.5,2363.0,2398.5,3510.0,3006.0,826.0,1101.0,1501.0,1741.0,1857.0,2040.0,2175.0,2301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,399.0,329.0,309.0,328.0,363.0,358.0,383.0,424.0,416.0,3589.0,2913.0,781.0,1078.0,1493.0,1771.0,1813.0,1982.0,2089.0,2227.0,1801.0,1131.0,416.0,599.0,925.0,1064.0,1155.0,1292.0,1521.0,1514.0,3537.0,2663.0,896.0,1118.0,1486.0,1751.0,1872.0,2044.0,2271.0,2310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.0,1145.0,445.0,561.0,724.0,878.0,947.0,1054.0,979.0,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,500.0,6938.0,6657.0,6621.0,6832.0,6508.0,6200.0,6368.0,5924.0,2645.0,1979.0,763.0,952.0,1249.0,1463.0,1546.0,1701.0,1774.0,1908.0,2703.0,2049.0,763.0,990.0,1316.0,1478.0,1564.0,1714.0,1920.0,1868.0,4198.0,3767.0,1111.0,1531.0,2024.0,2247.0,2349.0,2489.0,2782.0,2737.0,2591.0,1926.0,611.0,827.0,1132.0,1307.0,1378.0,1516.0,1695.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,1,2776.0,2275.0,1827.5,2003.5,2302.5,2360.5,2512.0,2667.0,2804.0,2809.5,4815.0,3767.0,2549.0,2985.0,3289.0,3731.0,3997.0,4178.0,4347.0,4293.0,2855.0,2062.0,863.0,1196.0,1523.0,1836.0,2146.0,2279.0,2433.0,2448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,1628.0,738.0,1178.0,1187.0,1642.0,3389.0,4468.0,4573.0,4848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,706.0,266.0,396.0,231.0,531.0,2761.0,4522.0,4438.0,4688.0,2014.0,888.0,324.0,504.0,327.0,701.0,3143.0,5015.0,4861.0,5325.0,1966.0,891.5,327.0,516.5,320.5,695.0,3020.5,4697.5,4694.0,4997.0,1860.0,841.0,365.0,524.0,340.0,702.0,2862.0,4349.0,4262.0,4616.0,3508.0,3034.0,1034.0,1470.0,2014.0,2270.0,2403.0,2537.0,2777.0,2680.0,1687.5,922.0,1186.0,1210.5,986.0,1208.0,2331.5,3100.0,2902.0,3233.0,5249.5,4100.5,3656.0,3663.5,3743.0,4261.5,4705.0,5055.0,5022.0,5321.0,6493.0,4469.0,1550.0,2051.0,3157.0,3915.0,4290.0,4880.0,4970.0,5705.0,5019.0,3974.5,1269.5,1596.0,2224.5,2633.0,2745.0,3020.0,2985.5,3412.0,4386.0,3610.0,1123.5,1488.0,2054.5,2395.0,2553.0,2763.0,2864.0,3047.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3853.5,3122.5,1027.0,1375.5,1920.0,2198.0,2312.0,2512.0,2664.0,2759.0,3059.0,2226.0,735.0,1034.0,1411.0,1756.0,1875.0,2032.0,2084.0,2251.0,3695.0,3038.0,1096.0,1464.0,1869.5,2184.0,2405.0,2559.0,2699.0,2799.0,2608.0,2368.0,812.0,1065.0,1338.0,1524.0,1637.5,1764.0,1827.0,1921.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.0,2364.0,1130.0,1393.0,1715.0,1994.0,2135.0,2261.0,2465.0,2334.0,4729.0,4202.0,1349.0,1900.0,2502.0,2938.0,3035.0,3227.0,3271.0,3498.0,2299.0,1544.0,590.0,904.0,1292.0,1534.0,1676.0,1850.0,2074.0,1990.0,2053.0,1660.0,639.0,863.0,1139.0,1341.0,1444.0,1560.0,1588.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4014.0,3458.5,3167.5,3202.5,3379.5,3636.0,3609.5,3641.5,3676.5,3705.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,5224.0,5542.0,5844.0,6161.0,5931.0,5584.0,5780.0,5250.0,2433.0,1770.0,735.0,1006.0,1389.0,1597.0,1725.0,1851.0,1960.0,1982.0,3763.0,3286.0,1347.0,1777.0,2292.0,2531.0,2660.0,2769.0,3069.0,2916.0,5357.0,4925.0,1932.0,2568.0,3285.0,3553.0,3700.0,3860.0,4195.0,4077.0,2787.0,2083.0,813.0,1116.0,1567.0,1772.0,1895.0,2033.0,2174.0,2230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,1,2292.0,1649.0,725.0,1034.0,1401.0,1648.0,1830.0,1946.0,2201.0,2174.0,5326.0,5183.0,1921.0,2533.0,3248.0,3556.0,3634.0,3835.0,4033.0,4058.0,2819.5,2079.5,805.0,1144.0,1460.5,1821.0,1939.0,2109.5,2241.0,2299.0,2800.5,1968.5,720.5,1145.5,1100.0,1743.0,2200.5,2347.5,2462.0,2480.0,2744.0,1936.0,752.0,1196.0,1319.0,1828.0,2236.0,2379.0,2542.0,2538.0,3527.0,2887.0,1364.0,1739.0,1880.0,2259.0,3260.0,3788.0,3685.0,3964.0,2877.5,1677.0,1798.5,1862.0,1675.5,2023.5,3134.5,3680.0,3811.0,3742.0,1968.0,862.0,244.0,442.0,209.0,562.0,3356.0,5166.0,5211.0,5271.0,1911.0,814.0,529.0,677.0,443.0,776.5,3432.0,5510.5,5654.5,5826.5,2003.0,873.0,366.0,586.0,352.0,780.0,3192.0,4999.0,4995.0,5306.0,2074.0,886.0,449.0,621.0,365.0,741.0,3539.0,5398.0,5397.0,5696.0,2702.0,2067.0,802.0,1113.0,1494.0,1732.0,1874.0,1999.0,2182.0,2188.0,2037.0,892.0,405.0,584.0,372.0,812.0,3317.0,4823.0,4793.0,5131.0,2237.5,1145.5,485.0,704.5,619.0,1049.5,2848.5,3813.0,3938.0,4151.5,3404.0,2149.0,718.0,982.0,1311.0,1792.0,2471.0,2983.0,3193.0,3456.0,3314.0,2604.0,581.0,758.0,1022.0,1301.0,1516.0,1767.0,1797.0,2077.0,3115.0,2608.0,495.0,726.0,982.0,1240.0,1393.0,1582.0,1728.0,1821.0,1422.0,1046.5,349.0,389.0,459.0,571.0,655.5,753.5,798.0,884.5,4571.0,3449.0,1147.0,1539.0,2254.0,2632.0,2816.0,3044.0,3283.0,3476.0,3839.0,3642.0,892.0,1191.0,1473.0,1919.0,2051.0,2183.0,2145.0,2386.0,3684.0,3399.0,957.0,1318.0,1711.0,1971.0,2227.0,2300.0,2515.0,2539.0,3967.5,3767.0,1158.5,1583.5,1935.5,2305.0,2568.0,2727.0,2873.5,2932.5,4389.0,4030.5,3091.0,3234.5,3474.5,3765.0,3806.5,3853.0,4146.5,3977.0,3288.0,2817.0,832.0,1243.0,1337.0,1904.0,2478.0,2578.0,2789.0,2794.0,2352.0,1870.0,671.0,941.0,1039.0,1429.0,1975.0,2094.0,2228.0,2223.0,2722.5,2185.0,673.0,1032.5,1459.5,1690.0,1826.5,1950.0,2180.5,2144.5,3250.0,2779.5,893.0,1311.0,1769.0,2061.5,2201.0,2338.0,2553.0,2581.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.0,2138.0,799.0,1144.0,1504.0,1793.0,2055.0,2224.0,2424.0,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.0,907.0,10606.0,10348.0,10284.0,10413.0,10056.0,9657.0,10024.0,9275.0,1521.0,1117.5,2849.0,2957.5,3099.5,3495.0,3514.5,3434.5,3502.5,3503.0,2824.0,2121.0,827.0,1220.0,1530.0,1897.0,2061.0,2181.0,2411.0,2421.0,3119.0,2461.0,989.0,1368.0,1775.0,2014.0,2112.0,2279.0,2506.0,2451.0,3090.0,2408.0,946.0,1404.0,1739.0,2123.0,2273.0,2394.0,2545.0,2552.0,3301.0,2700.0,1069.0,1560.0,1915.0,2289.0,2447.0,2588.0,2731.0,2739.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,1,2547.0,1874.0,616.0,821.0,1134.0,1337.0,1456.0,1597.0,1871.0,1843.0,5945.0,5507.0,1732.0,2374.0,3028.0,3532.0,3772.0,3940.0,4307.0,4321.0,2950.0,2232.0,739.0,975.0,1326.0,1574.0,1744.0,1910.0,2094.0,2154.0,4116.0,3493.0,1130.0,1314.0,1607.0,2094.0,2420.0,2671.0,2869.0,2921.0,3077.0,2290.0,636.0,985.0,1232.0,1580.0,2021.0,2201.0,2374.0,2404.0,3918.0,2559.0,813.0,1098.0,954.0,1583.0,3936.0,4689.0,5031.0,5007.0,1626.0,950.0,457.0,534.0,374.0,667.0,2276.0,2887.0,2386.0,3075.0,2026.5,944.5,327.5,482.0,319.0,616.0,3225.0,4887.5,4817.0,5049.5,1889.0,801.0,277.0,427.0,229.0,534.0,3013.0,4853.0,4862.0,5123.0,2124.0,902.0,326.0,499.0,268.0,626.0,3357.0,4930.0,4947.0,5186.0,2943.5,2073.0,759.5,1272.0,1456.5,2008.0,4194.0,5594.5,5343.0,5848.0,2394.0,1886.0,532.0,741.0,1047.0,1207.0,1312.0,1437.0,1622.0,1628.0,2042.5,835.0,383.5,604.5,351.5,757.5,3249.0,4620.5,4574.0,4935.5,2098.5,921.5,590.5,769.0,489.0,947.5,3185.0,4437.0,4476.5,4694.0,3182.0,2024.0,1457.0,1654.0,1401.0,2085.0,3882.0,4791.0,4725.5,5160.0,3058.0,2000.0,590.0,788.0,957.0,1354.0,1809.0,2104.0,2199.0,2441.0,3356.5,2525.5,431.5,592.0,894.0,1142.0,1297.5,1493.5,1639.5,1862.0,3058.0,2280.0,406.0,572.0,803.0,1030.0,1193.0,1331.0,1466.0,1623.0,4598.0,3404.0,1039.5,1385.5,2009.0,2365.5,2552.5,2770.5,2982.5,3132.0,4378.5,3061.0,1208.5,1472.0,1855.0,2276.5,2632.0,2863.5,2945.0,3242.5,3927.0,2753.0,830.0,1178.0,1460.0,1858.0,2367.0,2598.0,2844.0,2961.0,3880.0,2739.0,830.0,1161.0,1640.0,2005.0,2265.0,2509.0,2721.0,2855.0,3648.5,3237.5,2238.0,2253.5,2441.0,2661.0,2736.0,2864.5,3143.0,3026.0,3734.5,2640.5,826.5,1173.5,1567.5,2010.5,2344.0,2585.5,2870.5,2915.0,3038.0,2097.0,785.5,1055.5,1458.5,1801.5,2028.0,2264.5,2476.0,2598.5,3462.0,2378.0,761.5,1117.0,1606.0,1937.0,2174.5,2389.5,2754.5,2778.5,3684.0,2582.0,789.0,1145.0,1638.0,1988.0,2174.0,2405.0,2616.0,2764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684.0,1809.0,715.0,960.0,1300.0,1636.0,1851.0,2032.0,2322.0,2370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,349.0,11958.0,11402.0,11074.0,11139.0,10610.0,9976.0,10254.0,9399.0,211.0,172.0,7602.0,7514.0,7632.0,7924.0,7557.0,7176.0,7364.0,6873.0,2736.5,2002.5,692.5,964.5,1301.0,1536.5,1665.0,1799.5,2013.0,2048.0,3322.0,2650.0,952.0,1317.0,1619.0,1912.0,2064.0,2198.0,2448.0,2427.0,2650.0,1975.0,553.0,766.0,1107.0,1261.0,1394.0,1534.0,1744.0,1772.0,2903.0,2141.0,653.0,935.0,1255.0,1561.0,1686.0,1837.0,2031.0,2091.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,1,2381.0,1636.0,654.0,975.0,1296.0,1582.0,1794.0,1909.0,2056.0,2070.0,5110.0,4717.0,1298.0,2110.0,2826.0,3128.0,3297.0,3412.0,3601.0,3591.0,2331.5,1645.0,580.0,895.5,1208.5,1412.5,1525.0,1656.0,1722.5,1750.5,3653.0,3003.0,953.0,1496.0,1762.0,2209.0,2648.5,2819.0,2917.0,2921.0,2603.0,1836.0,617.0,1088.0,1271.0,1593.0,2163.0,2318.0,2466.0,2427.0,3814.0,3050.0,2478.0,2038.0,1960.0,2437.0,3563.0,4289.0,4113.0,4507.0,2522.0,1322.0,741.0,940.0,658.0,1049.0,3494.0,4804.0,4732.0,4886.0,1960.0,831.0,195.0,386.0,173.0,511.0,3347.0,5249.0,5290.0,5386.0,1079.5,493.0,197.5,287.0,174.5,373.0,1846.5,2901.5,2993.0,3057.0,2028.0,861.0,373.0,599.0,367.0,775.0,3139.0,4567.0,4641.0,4910.0,1533.5,630.5,487.0,599.5,372.0,667.0,2572.5,3908.5,3760.5,4105.0,3497.0,2900.0,1099.0,1553.0,1908.0,2239.0,2508.0,2625.0,2871.0,2799.0,2778.0,1829.0,1792.0,1734.0,1385.0,1786.5,3719.5,4905.5,4919.0,5111.5,2056.0,932.5,428.5,710.5,455.0,1064.0,3106.0,4080.5,4162.0,4335.0,2543.0,1450.0,588.0,856.0,866.0,1345.0,2728.0,3295.0,3288.0,3672.0,3455.0,2448.0,935.0,1267.0,1918.0,2301.0,2528.0,2825.0,2748.0,3223.0,4788.0,3861.0,1013.0,1438.0,2113.0,2497.0,2665.0,2862.0,3047.0,3215.0,4474.0,3702.5,2724.0,2952.5,3251.0,3648.5,3906.0,3954.5,3984.0,4188.0,4363.0,3658.5,942.5,1269.5,1775.0,2062.0,2174.0,2360.0,2468.5,2644.0,4588.0,3954.0,1131.0,1625.0,2185.0,2569.0,2658.0,2810.0,2840.0,3090.0,4152.0,3405.0,1101.0,1601.0,2140.0,2395.0,2463.0,2546.0,2881.0,2731.0,3763.5,3155.5,873.0,1308.5,1801.0,2071.0,2228.0,2358.5,2515.0,2563.0,4150.0,3586.0,3037.5,3160.0,3316.5,3574.5,3670.0,3710.5,4085.5,3778.0,3051.0,2424.0,799.0,1059.0,1443.0,1664.0,1824.0,1956.0,2144.0,2137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2615.0,1941.0,599.0,914.0,1322.0,1493.0,1601.0,1720.0,1927.0,1881.0,3002.5,2343.0,684.5,1041.5,1469.0,1697.0,1776.5,1881.5,2039.0,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.0,2154.0,709.0,1017.0,1406.0,1585.0,1660.0,1806.0,1969.0,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,872.0,10978.0,10636.0,10470.0,10596.0,10174.0,9805.0,10188.0,9381.0,1362.5,941.5,4427.5,4585.0,4774.0,5093.5,5039.5,4943.0,5058.0,4771.0,3276.0,2482.0,906.0,1393.0,1696.0,2129.0,2642.0,2782.0,2995.0,2926.0,3720.5,2967.5,1101.0,1634.5,2000.5,2445.0,2693.5,2888.5,3068.5,3034.0,3002.0,2165.0,748.0,1169.0,1531.0,1894.0,2069.0,2192.0,2360.0,2379.0,2566.0,2171.0,571.0,910.0,1259.5,1418.5,1491.5,1594.0,1714.0,1687.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,1,1512.0,901.0,450.0,766.0,1110.0,1393.0,1597.0,1760.0,1946.0,1953.0,6121.0,5719.0,2134.0,2886.0,3709.0,4212.0,4326.0,4528.0,4605.0,4738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5864.0,5521.0,1988.0,2775.0,3452.0,4023.0,4209.0,4438.0,4600.0,4633.0,5809.0,5299.0,2085.0,2926.0,3637.0,4142.0,4410.0,4565.0,4869.0,4838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669.5,801.0,513.5,699.0,448.0,812.5,2872.0,3999.5,3815.5,4185.5,1105.0,515.5,246.0,345.5,189.0,435.0,2178.5,3230.0,3371.0,3354.0,2536.5,1715.5,1389.5,1521.5,1370.0,1718.0,3297.5,4282.0,4266.5,4438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2223.0,806.0,1126.0,1474.5,1791.0,2022.5,2182.0,2427.0,2389.0,1734.5,724.5,382.5,546.5,301.5,665.0,3070.5,4614.5,4535.0,4942.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432.0,2247.0,1489.5,1728.0,1633.5,2288.5,3488.0,4042.0,4122.0,4338.0,3348.0,2270.0,427.0,698.0,1046.0,1438.0,1669.0,1924.0,2036.0,2411.0,3217.0,2355.0,431.0,628.0,889.0,1190.0,1372.0,1607.0,1705.0,1979.0,3853.0,2856.0,857.0,1141.0,1586.5,1948.0,2174.5,2432.0,2531.0,2798.0,4354.5,3664.5,1111.0,1531.0,2143.0,2485.5,2598.5,2793.0,2893.0,3090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,472.0,303.0,356.0,326.0,410.0,485.0,503.0,478.0,539.0,3396.5,2484.5,714.0,1170.5,1276.5,1832.5,2395.0,2568.0,2790.5,2803.5,3054.0,2488.0,1190.0,1504.0,1863.0,2062.0,2168.0,2271.0,2513.0,2419.0,2657.5,1842.0,549.0,910.0,956.0,1464.5,1981.0,2161.5,2376.0,2380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2865.0,2058.0,658.0,992.0,1455.0,1700.0,1866.0,2043.0,2323.0,2302.0,3059.0,2291.0,685.0,997.0,1414.0,1681.0,1869.0,2036.0,2207.0,2271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,145.0,4166.0,4418.0,4599.0,4715.0,4478.0,4411.0,4461.0,3863.0,3081.0,2228.0,1040.0,1484.0,1993.0,2280.0,2448.0,2576.0,2797.0,2781.0,3375.0,2538.0,1145.0,1570.0,2082.0,2378.0,2517.0,2673.0,2856.0,2835.0,3871.0,3148.0,1311.5,1873.5,2456.0,2801.5,2933.5,3045.5,3280.0,3244.0,4640.5,4061.0,1737.5,2365.5,3017.5,3394.0,3504.5,3646.0,3891.0,3856.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
