system:index,cropland,d0_B11,d0_B12,d0_B2,d0_B3,d0_B4,d0_B5,d0_B6,d0_B7,d0_B8,d0_B8A,d10_B11,d10_B12,d10_B2,d10_B3,d10_B4,d10_B5,d10_B6,d10_B7,d10_B8,d10_B8A,d11_B11,d11_B12,d11_B2,d11_B3,d11_B4,d11_B5,d11_B6,d11_B7,d11_B8,d11_B8A,d12_B11,d12_B12,d12_B2,d12_B3,d12_B4,d12_B5,d12_B6,d12_B7,d12_B8,d12_B8A,d13_B11,d13_B12,d13_B2,d13_B3,d13_B4,d13_B5,d13_B6,d13_B7,d13_B8,d13_B8A,d14_B11,d14_B12,d14_B2,d14_B3,d14_B4,d14_B5,d14_B6,d14_B7,d14_B8,d14_B8A,d15_B11,d15_B12,d15_B2,d15_B3,d15_B4,d15_B5,d15_B6,d15_B7,d15_B8,d15_B8A,d16_B11,d16_B12,d16_B2,d16_B3,d16_B4,d16_B5,d16_B6,d16_B7,d16_B8,d16_B8A,d17_B11,d17_B12,d17_B2,d17_B3,d17_B4,d17_B5,d17_B6,d17_B7,d17_B8,d17_B8A,d18_B11,d18_B12,d18_B2,d18_B3,d18_B4,d18_B5,d18_B6,d18_B7,d18_B8,d18_B8A,d19_B11,d19_B12,d19_B2,d19_B3,d19_B4,d19_B5,d19_B6,d19_B7,d19_B8,d19_B8A,d1_B11,d1_B12,d1_B2,d1_B3,d1_B4,d1_B5,d1_B6,d1_B7,d1_B8,d1_B8A,d20_B11,d20_B12,d20_B2,d20_B3,d20_B4,d20_B5,d20_B6,d20_B7,d20_B8,d20_B8A,d21_B11,d21_B12,d21_B2,d21_B3,d21_B4,d21_B5,d21_B6,d21_B7,d21_B8,d21_B8A,d22_B11,d22_B12,d22_B2,d22_B3,d22_B4,d22_B5,d22_B6,d22_B7,d22_B8,d22_B8A,d23_B11,d23_B12,d23_B2,d23_B3,d23_B4,d23_B5,d23_B6,d23_B7,d23_B8,d23_B8A,d24_B11,d24_B12,d24_B2,d24_B3,d24_B4,d24_B5,d24_B6,d24_B7,d24_B8,d24_B8A,d25_B11,d25_B12,d25_B2,d25_B3,d25_B4,d25_B5,d25_B6,d25_B7,d25_B8,d25_B8A,d26_B11,d26_B12,d26_B2,d26_B3,d26_B4,d26_B5,d26_B6,d26_B7,d26_B8,d26_B8A,d27_B11,d27_B12,d27_B2,d27_B3,d27_B4,d27_B5,d27_B6,d27_B7,d27_B8,d27_B8A,d28_B11,d28_B12,d28_B2,d28_B3,d28_B4,d28_B5,d28_B6,d28_B7,d28_B8,d28_B8A,d29_B11,d29_B12,d29_B2,d29_B3,d29_B4,d29_B5,d29_B6,d29_B7,d29_B8,d29_B8A,d2_B11,d2_B12,d2_B2,d2_B3,d2_B4,d2_B5,d2_B6,d2_B7,d2_B8,d2_B8A,d30_B11,d30_B12,d30_B2,d30_B3,d30_B4,d30_B5,d30_B6,d30_B7,d30_B8,d30_B8A,d31_B11,d31_B12,d31_B2,d31_B3,d31_B4,d31_B5,d31_B6,d31_B7,d31_B8,d31_B8A,d32_B11,d32_B12,d32_B2,d32_B3,d32_B4,d32_B5,d32_B6,d32_B7,d32_B8,d32_B8A,d33_B11,d33_B12,d33_B2,d33_B3,d33_B4,d33_B5,d33_B6,d33_B7,d33_B8,d33_B8A,d34_B11,d34_B12,d34_B2,d34_B3,d34_B4,d34_B5,d34_B6,d34_B7,d34_B8,d34_B8A,d35_B11,d35_B12,d35_B2,d35_B3,d35_B4,d35_B5,d35_B6,d35_B7,d35_B8,d35_B8A,d3_B11,d3_B12,d3_B2,d3_B3,d3_B4,d3_B5,d3_B6,d3_B7,d3_B8,d3_B8A,d4_B11,d4_B12,d4_B2,d4_B3,d4_B4,d4_B5,d4_B6,d4_B7,d4_B8,d4_B8A,d5_B11,d5_B12,d5_B2,d5_B3,d5_B4,d5_B5,d5_B6,d5_B7,d5_B8,d5_B8A,d6_B11,d6_B12,d6_B2,d6_B3,d6_B4,d6_B5,d6_B6,d6_B7,d6_B8,d6_B8A,d7_B11,d7_B12,d7_B2,d7_B3,d7_B4,d7_B5,d7_B6,d7_B7,d7_B8,d7_B8A,d8_B11,d8_B12,d8_B2,d8_B3,d8_B4,d8_B5,d8_B6,d8_B7,d8_B8,d8_B8A,d9_B11,d9_B12,d9_B2,d9_B3,d9_B4,d9_B5,d9_B6,d9_B7,d9_B8,d9_B8A,.geo
64,1,2088.0,1393.0,740.0,1060.0,1407.0,1615.0,1709.0,1772.0,1951.0,1911.0,4881.0,4211.0,1823.0,2456.0,2939.0,3429.0,3822.0,4038.0,4241.0,4154.0,2213.0,1341.0,773.0,1123.0,1364.0,1672.0,1941.0,2164.0,2260.0,2207.0,2788.0,1572.0,1026.0,1421.0,1388.0,1946.0,3168.0,3456.0,3840.0,3608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,2064.0,698.0,1008.0,936.0,1523.0,3408.0,4539.0,4530.0,4756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.0,861.0,334.0,521.0,317.0,717.0,3002.0,4378.0,4495.0,4546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266.0,1127.5,406.5,676.5,489.5,1039.0,3112.5,4279.0,4380.0,4593.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.0,1863.0,818.0,1175.0,1560.0,1739.0,1873.0,1972.0,2087.0,1999.0,2457.0,1298.0,557.0,834.0,754.5,1340.5,2673.0,3235.5,3205.5,3570.5,2385.0,1365.0,742.0,874.0,902.0,1360.0,2245.0,2560.0,2599.0,2862.0,5813.0,4107.0,1510.0,1956.0,2790.0,3484.0,3770.0,4251.0,4454.0,4966.0,4797.0,4224.0,1530.0,1988.0,2382.0,2803.0,3020.0,3267.0,3264.0,3514.0,1970.0,1649.0,788.0,982.0,1178.0,1362.5,1423.5,1561.5,1572.0,1565.0,3595.0,3336.0,1132.0,1501.0,1944.0,2252.0,2396.0,2527.0,2592.0,2670.0,2956.5,2013.5,1135.5,1641.0,2021.0,2483.5,2500.0,2639.0,2812.5,2837.5,3683.0,3042.0,1342.0,1872.0,2238.0,2564.0,2693.0,2934.0,2977.0,2889.0,3984.0,3338.0,1488.5,2011.0,2443.0,2770.5,2770.5,3071.5,3186.0,3070.5,4046.0,3504.0,1489.0,1996.0,2442.0,2717.0,2857.0,3090.0,3142.0,3146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3255.0,3046.0,1951.0,2117.0,2334.0,2613.0,2832.0,2929.0,2776.0,3110.0,3390.0,2706.0,1027.0,1538.0,1869.0,2281.0,2586.0,2556.0,2767.0,2803.0,2117.0,1322.0,656.0,1048.0,1327.0,1666.0,1939.0,2069.0,2270.0,2148.0,2080.5,1555.5,1289.0,1452.0,1569.5,1853.5,2018.0,2098.5,2050.5,2188.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2265.0,1378.0,657.0,1042.0,1095.0,1619.0,2470.0,2550.0,2765.0,2551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,629.0,7435.0,7084.0,7097.0,7499.0,7079.0,6562.0,6833.0,6436.0,3325.0,3018.0,2032.0,2080.0,2344.0,2541.0,2617.0,2802.0,2635.0,2874.0,2465.0,1690.0,960.0,1334.0,1724.0,1957.0,2067.0,2157.0,2314.0,2231.0,3396.5,2862.0,1384.5,1817.5,2264.5,2499.0,2576.5,2713.0,2838.5,2850.5,3120.0,2452.0,1047.0,1428.0,1858.0,2084.0,2139.0,2291.0,2441.0,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1,2061.0,1556.0,447.0,603.0,766.0,1003.0,1260.0,1387.0,1585.0,1602.0,3762.0,3114.0,967.0,1361.0,1722.0,2205.0,2469.0,2694.0,2952.0,3012.0,1860.5,1373.5,548.0,689.0,926.0,1131.5,1231.0,1397.5,1436.5,1578.0,2645.0,1938.0,765.0,927.0,1210.0,1406.0,1607.0,1720.0,1922.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2788.0,1930.0,648.0,866.0,947.0,1277.0,2109.0,2417.0,2526.0,2687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0,632.0,125.0,340.0,129.0,501.0,2946.0,4777.0,4633.0,4869.0,1648.0,687.0,333.0,475.0,285.0,610.0,3106.0,5112.0,5246.0,5364.0,1767.0,739.0,398.0,559.0,355.0,729.0,2910.0,4727.0,4760.0,4937.0,2847.0,2576.0,705.0,918.0,1147.0,1489.0,1753.0,1917.0,2151.0,2105.0,1827.0,769.0,475.0,590.0,356.0,724.0,2928.0,4872.0,4762.0,5130.0,1724.0,744.0,480.0,625.0,402.0,792.0,2876.0,4393.0,4473.0,4593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.0,1034.0,377.5,630.0,540.0,1018.0,2170.5,2768.0,2876.5,3096.0,1985.0,1300.0,352.0,474.0,634.0,864.5,1157.0,1364.5,1560.5,1665.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.5,3459.5,946.5,1247.5,1745.5,2053.5,2189.5,2410.5,2579.0,2727.5,3233.0,2454.0,845.0,1082.0,1395.0,1711.0,1870.0,2039.0,2033.0,2340.0,3652.5,3069.0,878.0,1165.0,1579.0,1932.5,2083.0,2214.5,2456.5,2535.0,4505.0,4110.0,1186.0,1517.0,1980.0,2340.0,2572.0,2761.0,2962.0,3022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3702.0,3349.0,910.0,1188.0,1586.0,1855.0,1926.0,2138.0,2360.0,2408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.0,1607.0,460.0,617.0,923.0,1095.0,1164.0,1292.0,1487.0,1546.0,2275.0,1663.0,494.0,707.0,994.0,1211.0,1337.0,1480.0,1673.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439.0,1864.0,590.0,767.0,1049.0,1297.0,1475.0,1596.0,1795.0,1843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,1028.0,8544.0,8254.0,8436.0,8462.0,8475.0,8130.0,8669.0,7947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3227.0,2697.5,2954.0,2733.5,2669.0,3074.5,3204.0,3192.0,3344.5,3273.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.0,1339.0,417.0,713.0,709.0,1332.0,2117.0,2350.0,2541.0,2495.0,2450.0,1755.5,760.5,1072.0,1050.5,1727.0,2355.5,2531.0,2893.5,2702.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1,2574.0,1867.0,803.0,1035.0,1412.0,1568.0,1694.0,1875.0,2150.0,2083.0,5171.0,4757.0,1836.0,2349.0,2967.0,3375.0,3535.0,3726.0,3861.0,4016.0,3625.0,2782.0,1654.0,1935.0,2311.0,2595.0,2781.0,2959.0,3090.0,3231.0,5305.0,4644.0,3883.0,3957.0,4103.0,4590.0,4686.0,4730.0,4976.0,4919.0,4943.0,4209.0,1510.0,1990.0,2315.0,2934.0,3281.0,3565.0,3773.0,3877.0,4502.0,4040.0,1345.0,1749.0,2050.0,2500.0,3513.0,3972.0,4054.0,4179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,878.0,357.0,599.0,333.0,779.0,3233.0,4675.0,4735.0,4850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0,887.5,336.0,545.5,302.5,714.0,3182.5,4879.5,4990.5,5159.5,3809.5,3254.0,2371.5,2682.0,2744.5,3330.5,4461.0,5159.5,5042.5,5343.5,2557.0,1968.0,811.0,1098.0,1476.0,1676.0,1795.0,1907.0,2158.0,2113.0,1828.5,816.0,581.0,721.5,461.0,820.0,2982.0,4548.5,4273.5,4807.5,2669.5,1421.5,1761.5,1796.5,1408.0,1872.0,3585.5,4446.0,4798.5,4855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117.0,1486.0,662.5,719.5,802.5,1026.5,1149.5,1311.0,1329.0,1479.5,2648.0,1921.0,482.0,646.5,816.0,1101.5,1350.0,1490.5,1585.5,1711.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.0,2489.5,921.5,1271.0,1796.0,2184.5,2347.5,2545.5,2804.0,2930.0,3692.0,2521.0,860.0,1173.0,1560.0,1986.0,2238.0,2423.0,2510.0,2779.0,4323.5,3522.5,1152.5,1564.0,2036.0,2408.0,2630.5,2851.5,3094.0,3139.5,4220.0,3786.0,1362.0,1763.5,2260.5,2557.0,2660.5,2813.5,2976.5,3044.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3252.0,2402.0,923.0,1230.0,1550.0,1890.0,2087.0,2232.0,2469.0,2552.0,3786.0,3149.0,1652.0,1915.0,2094.0,2508.0,2635.0,2744.0,2983.0,2981.0,2584.0,1803.0,666.0,962.0,1372.0,1599.0,1743.0,1920.0,2162.0,2191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.0,1714.0,760.0,1027.0,1461.0,1773.0,1918.0,2123.0,2371.0,2395.0,4241.0,3813.0,3668.0,3692.0,3900.0,4316.0,4366.0,4451.0,3945.0,4595.0,195.0,208.0,10913.0,10446.0,10190.0,10338.0,9845.0,9300.0,9509.0,8616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2768.0,2148.0,947.0,1226.0,1593.0,1782.0,1888.0,2037.0,2271.0,2236.0,3242.0,2498.0,1009.0,1357.0,1764.0,1962.0,2106.0,2289.0,2564.0,2529.0,3178.0,2518.0,1031.0,1383.0,1776.0,2005.0,2150.0,2306.0,2546.0,2493.0,4348.0,3186.0,1623.0,1976.0,2454.0,2796.0,2932.0,3166.0,3399.0,3488.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
