system:index,cropland,d0_B11,d0_B12,d0_B2,d0_B3,d0_B4,d0_B5,d0_B6,d0_B7,d0_B8,d0_B8A,d10_B11,d10_B12,d10_B2,d10_B3,d10_B4,d10_B5,d10_B6,d10_B7,d10_B8,d10_B8A,d11_B11,d11_B12,d11_B2,d11_B3,d11_B4,d11_B5,d11_B6,d11_B7,d11_B8,d11_B8A,d12_B11,d12_B12,d12_B2,d12_B3,d12_B4,d12_B5,d12_B6,d12_B7,d12_B8,d12_B8A,d13_B11,d13_B12,d13_B2,d13_B3,d13_B4,d13_B5,d13_B6,d13_B7,d13_B8,d13_B8A,d14_B11,d14_B12,d14_B2,d14_B3,d14_B4,d14_B5,d14_B6,d14_B7,d14_B8,d14_B8A,d15_B11,d15_B12,d15_B2,d15_B3,d15_B4,d15_B5,d15_B6,d15_B7,d15_B8,d15_B8A,d16_B11,d16_B12,d16_B2,d16_B3,d16_B4,d16_B5,d16_B6,d16_B7,d16_B8,d16_B8A,d17_B11,d17_B12,d17_B2,d17_B3,d17_B4,d17_B5,d17_B6,d17_B7,d17_B8,d17_B8A,d18_B11,d18_B12,d18_B2,d18_B3,d18_B4,d18_B5,d18_B6,d18_B7,d18_B8,d18_B8A,d19_B11,d19_B12,d19_B2,d19_B3,d19_B4,d19_B5,d19_B6,d19_B7,d19_B8,d19_B8A,d1_B11,d1_B12,d1_B2,d1_B3,d1_B4,d1_B5,d1_B6,d1_B7,d1_B8,d1_B8A,d20_B11,d20_B12,d20_B2,d20_B3,d20_B4,d20_B5,d20_B6,d20_B7,d20_B8,d20_B8A,d21_B11,d21_B12,d21_B2,d21_B3,d21_B4,d21_B5,d21_B6,d21_B7,d21_B8,d21_B8A,d22_B11,d22_B12,d22_B2,d22_B3,d22_B4,d22_B5,d22_B6,d22_B7,d22_B8,d22_B8A,d23_B11,d23_B12,d23_B2,d23_B3,d23_B4,d23_B5,d23_B6,d23_B7,d23_B8,d23_B8A,d24_B11,d24_B12,d24_B2,d24_B3,d24_B4,d24_B5,d24_B6,d24_B7,d24_B8,d24_B8A,d25_B11,d25_B12,d25_B2,d25_B3,d25_B4,d25_B5,d25_B6,d25_B7,d25_B8,d25_B8A,d26_B11,d26_B12,d26_B2,d26_B3,d26_B4,d26_B5,d26_B6,d26_B7,d26_B8,d26_B8A,d27_B11,d27_B12,d27_B2,d27_B3,d27_B4,d27_B5,d27_B6,d27_B7,d27_B8,d27_B8A,d28_B11,d28_B12,d28_B2,d28_B3,d28_B4,d28_B5,d28_B6,d28_B7,d28_B8,d28_B8A,d29_B11,d29_B12,d29_B2,d29_B3,d29_B4,d29_B5,d29_B6,d29_B7,d29_B8,d29_B8A,d2_B11,d2_B12,d2_B2,d2_B3,d2_B4,d2_B5,d2_B6,d2_B7,d2_B8,d2_B8A,d30_B11,d30_B12,d30_B2,d30_B3,d30_B4,d30_B5,d30_B6,d30_B7,d30_B8,d30_B8A,d31_B11,d31_B12,d31_B2,d31_B3,d31_B4,d31_B5,d31_B6,d31_B7,d31_B8,d31_B8A,d32_B11,d32_B12,d32_B2,d32_B3,d32_B4,d32_B5,d32_B6,d32_B7,d32_B8,d32_B8A,d33_B11,d33_B12,d33_B2,d33_B3,d33_B4,d33_B5,d33_B6,d33_B7,d33_B8,d33_B8A,d34_B11,d34_B12,d34_B2,d34_B3,d34_B4,d34_B5,d34_B6,d34_B7,d34_B8,d34_B8A,d35_B11,d35_B12,d35_B2,d35_B3,d35_B4,d35_B5,d35_B6,d35_B7,d35_B8,d35_B8A,d3_B11,d3_B12,d3_B2,d3_B3,d3_B4,d3_B5,d3_B6,d3_B7,d3_B8,d3_B8A,d4_B11,d4_B12,d4_B2,d4_B3,d4_B4,d4_B5,d4_B6,d4_B7,d4_B8,d4_B8A,d5_B11,d5_B12,d5_B2,d5_B3,d5_B4,d5_B5,d5_B6,d5_B7,d5_B8,d5_B8A,d6_B11,d6_B12,d6_B2,d6_B3,d6_B4,d6_B5,d6_B6,d6_B7,d6_B8,d6_B8A,d7_B11,d7_B12,d7_B2,d7_B3,d7_B4,d7_B5,d7_B6,d7_B7,d7_B8,d7_B8A,d8_B11,d8_B12,d8_B2,d8_B3,d8_B4,d8_B5,d8_B6,d8_B7,d8_B8,d8_B8A,d9_B11,d9_B12,d9_B2,d9_B3,d9_B4,d9_B5,d9_B6,d9_B7,d9_B8,d9_B8A,.geo
12,1,2168.5,1603.0,600.5,773.5,1062.0,1227.0,1380.0,1532.5,1711.0,1708.0,4689.0,4172.0,1429.0,1815.0,2306.0,2729.0,2954.5,3184.5,3449.0,3510.0,2743.5,2009.0,712.0,937.5,1173.5,1501.5,1707.0,1859.0,2021.5,2099.5,2948.0,2146.5,835.5,1065.0,1237.0,1625.5,1871.5,2049.0,2278.0,2302.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4129.5,3064.5,1119.0,1491.5,1645.0,2144.5,3264.0,3673.5,3891.5,3934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2370.0,1311.0,365.5,570.5,420.0,783.0,3081.5,4649.5,4788.0,4848.5,1887.0,914.0,241.5,442.5,297.0,646.0,2833.0,4515.5,4480.0,4826.0,1825.0,888.5,288.5,427.0,258.0,561.0,2605.0,4255.5,4359.5,4483.5,3890.5,3394.0,3978.5,3754.5,3579.5,3986.0,4549.0,4979.0,4751.5,5087.5,2558.0,2082.5,741.5,933.5,1231.0,1417.0,1617.5,1734.0,1945.0,1921.0,1890.5,891.0,370.0,484.5,305.5,621.5,2593.0,4387.0,4269.5,4626.5,1793.0,849.5,471.5,583.5,410.0,704.5,2559.5,4055.5,4122.0,4321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722.5,1850.5,631.0,857.5,884.0,1295.5,2133.0,2514.5,2666.5,2883.0,2630.0,2196.0,440.0,600.5,811.0,1038.0,1219.5,1413.5,1519.5,1642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3983.5,3518.0,1298.0,1535.5,1929.0,2209.5,2378.0,2541.0,2724.5,2779.5,3337.0,2412.0,1496.0,1656.5,1798.0,2137.5,2314.5,2464.0,2543.5,2697.5,4380.5,3980.0,1108.5,1469.5,1861.5,2267.0,2577.0,2815.0,3009.0,3109.0,4240.0,3822.0,1097.0,1462.0,1761.0,2201.5,2680.5,2924.0,3089.5,3215.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3798.5,3101.0,871.5,1227.5,1443.5,1981.0,2508.5,2771.5,3020.0,3110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136.5,1356.0,413.5,692.0,815.5,1247.5,1994.5,2192.0,2372.5,2358.5,2957.5,2108.0,704.0,1040.0,1138.0,1673.5,2592.5,2877.0,2998.5,3121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.0,1304.0,404.0,660.5,574.5,1109.5,2452.0,2777.0,2971.5,2939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.5,995.0,10716.5,10359.5,10289.0,10452.0,10135.5,9792.0,10188.0,9381.5,2359.0,1685.5,1128.0,1264.5,1431.0,1622.0,1746.5,1871.0,1978.5,1982.5,2578.0,1997.5,733.0,928.5,1236.5,1456.0,1662.0,1820.0,2016.5,2014.0,2885.0,2231.0,817.0,1079.5,1313.5,1604.0,1988.0,2181.5,2408.5,2426.5,2657.5,1950.5,680.0,938.0,1150.0,1478.5,1903.0,2104.0,2285.5,2303.5,3997.0,3317.5,1249.5,1577.5,1915.5,2412.5,2768.5,3045.0,3226.0,3348.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1,2522.0,1883.0,658.0,872.0,1135.0,1316.0,1424.0,1603.0,1812.0,1805.0,4678.0,4325.0,1273.0,1692.0,2117.0,2607.0,2793.0,2960.0,2896.0,3194.0,2954.0,2216.0,747.0,943.0,1184.0,1454.0,1592.0,1791.0,1945.0,1987.0,3038.0,2325.0,987.0,998.0,1055.0,1428.0,1740.0,1926.0,2076.0,2128.0,4065.0,3386.0,1031.0,1444.5,1656.5,2163.5,2819.5,3140.0,3269.0,3362.0,4480.0,3372.0,1113.0,1475.0,1475.0,2020.0,4023.0,5055.0,5060.0,5352.0,2048.0,1024.0,388.0,603.0,408.0,813.0,3329.0,4805.0,4853.0,4974.0,1586.0,762.5,283.0,421.0,216.5,527.5,2805.5,4841.5,4828.5,4975.0,1470.0,673.0,269.0,398.0,269.0,518.0,2654.0,4538.0,4486.0,4812.0,1665.0,740.0,286.0,435.0,287.0,581.0,2587.0,4232.0,4457.0,4601.0,1707.0,750.0,471.0,583.0,372.0,660.0,2863.0,4545.0,4601.0,5048.0,2645.0,2119.0,767.0,991.0,1262.0,1488.0,1565.0,1678.0,1929.0,1894.0,1702.0,718.0,329.0,527.0,350.0,747.0,2857.0,4609.0,4527.0,4999.0,1944.5,984.5,502.5,683.0,520.5,954.0,2645.0,3578.5,3694.0,3962.0,2973.0,1913.0,600.0,813.0,948.0,1357.0,2199.0,2669.0,2733.0,3175.0,2482.5,1749.0,473.5,569.5,764.0,990.0,1204.5,1412.0,1440.0,1632.0,4817.0,3721.0,1184.0,1610.0,2414.0,2836.0,3021.0,3243.0,3528.0,3734.0,4460.5,3477.5,1120.0,1511.5,2155.0,2547.5,2800.5,3033.0,3137.0,3438.0,3949.5,3132.5,867.0,1202.0,1495.5,1898.0,2384.5,2598.5,2692.0,2892.0,2905.0,1906.0,606.0,892.0,881.0,1373.0,2318.0,2554.0,2574.0,2794.0,2921.5,1876.0,546.0,892.0,807.0,1380.5,2493.5,2850.5,2972.0,3065.0,2615.0,1549.0,448.0,841.0,699.0,1294.0,2623.0,2965.0,3105.0,3229.0,2562.5,2087.5,1097.0,1234.5,1422.0,1592.0,1689.0,1812.0,1987.0,1956.5,2230.0,1292.5,423.0,740.5,640.5,1287.5,2413.0,2775.5,2962.0,3034.0,2316.0,1700.0,883.5,1044.5,1384.0,1673.5,1861.5,2033.0,2153.0,2312.0,3106.5,2079.0,790.0,1163.5,1804.5,2125.0,2321.5,2545.5,2857.5,2878.5,3424.0,2495.0,885.5,1282.0,1824.0,2133.0,2292.5,2467.0,2692.0,2804.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,2238.0,720.0,951.0,1257.0,1509.0,1598.0,1758.0,1982.0,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,712.0,10648.0,10390.0,10294.0,10357.0,10012.0,9560.0,9866.0,9111.0,1210.0,889.5,4307.5,4465.0,4691.0,4978.0,4810.0,4673.5,4772.5,4505.0,2853.0,2203.0,710.0,962.0,1250.0,1514.0,1605.0,1759.0,1953.0,1994.0,3553.0,2932.0,947.0,1203.5,1530.5,1858.0,2001.5,2133.0,2292.0,2408.0,2657.0,2008.0,612.0,850.0,1208.0,1374.0,1464.0,1627.0,1837.0,1853.0,2932.0,2157.0,806.0,1052.0,1339.0,1612.0,1693.0,1892.0,2043.0,2140.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,1,2245.0,1444.5,495.0,702.0,885.0,1286.0,1911.0,2064.0,2243.5,2299.0,5133.0,4827.0,1626.0,2222.0,2905.0,3297.0,3378.0,3552.0,3675.0,3852.0,2065.0,1516.5,562.0,758.0,1036.5,1237.0,1309.5,1455.0,1492.5,1576.5,2880.5,2133.0,689.5,1032.5,1115.0,1644.0,1956.5,2113.5,2166.0,2313.5,3069.0,2268.0,707.0,1129.0,1312.0,1771.0,2140.0,2284.0,2469.0,2481.0,5229.0,4092.0,1292.0,1872.0,2055.0,2861.0,4524.0,5167.0,5138.0,5471.0,2954.0,1830.5,1187.0,1522.5,1413.5,1932.5,3737.5,4450.5,4442.5,4536.0,2621.5,1512.0,767.0,971.5,741.0,1158.0,3828.0,5598.5,5596.0,5793.5,2055.0,906.0,304.0,556.0,339.0,734.0,3507.0,5174.0,5400.0,5360.0,2004.0,863.0,457.0,623.0,384.0,763.0,3209.0,4976.0,5135.0,5429.0,1746.0,881.0,453.0,601.0,360.0,719.0,2519.0,4098.0,3963.0,4342.0,2660.0,1877.0,617.0,812.0,990.0,1436.0,1998.0,2136.0,2343.0,2355.0,1762.5,706.0,409.5,542.0,334.0,680.0,2891.5,4603.5,4721.5,4846.5,1991.0,890.5,493.0,713.0,480.0,936.0,3055.0,4286.5,4461.0,4705.5,2699.0,1537.0,510.0,808.0,771.0,1427.0,2724.0,3386.0,3409.0,3901.0,3229.5,2321.5,557.0,759.0,996.0,1341.5,1610.0,1872.5,1927.0,2230.0,3268.0,2438.0,541.0,718.0,1008.0,1265.0,1464.0,1660.0,1809.0,2012.0,4784.5,3951.0,1374.0,1822.0,2429.0,2852.5,3058.0,3320.0,3414.5,3624.0,4137.0,3425.0,1020.0,1454.0,1703.0,2217.0,2717.0,2999.0,3147.0,3253.0,3077.0,2038.0,592.0,1037.0,913.0,1595.0,2630.0,2835.0,2903.0,3086.0,3058.5,1954.0,568.0,1060.0,863.0,1592.0,2874.0,3178.0,3301.5,3359.0,2679.0,1602.5,472.5,1031.0,716.5,1563.5,3059.0,3374.0,3504.0,3570.5,2637.0,1842.0,618.0,817.0,1005.0,1458.0,2068.0,2219.0,2446.0,2442.0,2349.0,1395.0,448.5,780.0,782.0,1590.0,2270.5,2535.0,2865.0,2906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3505.0,2433.0,1025.0,1500.0,2181.0,2603.0,2858.0,3043.0,3347.0,3382.0,3684.0,2692.5,1072.0,1513.5,2149.5,2578.5,2776.0,2991.5,3215.5,3261.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3457.0,2770.0,879.0,1183.0,1448.0,1806.0,2108.0,2264.0,2467.0,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.0,983.0,10514.0,10298.0,10262.0,10373.0,10091.0,9641.0,10108.0,9201.0,710.0,430.0,2676.0,2949.0,3028.0,3343.0,3674.0,3718.0,3798.0,3710.0,2502.5,1673.5,512.5,763.0,895.5,1402.5,2161.0,2341.0,2568.5,2560.0,2828.0,2105.0,773.0,1089.0,1478.0,1722.0,1878.0,2033.0,2243.0,2237.0,2788.0,2024.0,734.0,1102.0,1482.0,1796.0,1916.0,2029.0,2211.0,2251.0,3041.0,2388.0,845.0,1212.0,1610.0,1913.0,2015.0,2161.0,2324.0,2323.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,1,3310.0,2462.0,1065.0,1271.0,1684.0,1934.0,2120.0,2273.0,2537.0,2542.0,3535.0,2714.0,881.0,1170.0,1437.0,1805.0,2072.0,2333.0,2485.0,2544.0,3196.0,2409.0,866.0,1048.0,1264.0,1616.0,1904.0,2101.0,2298.0,2346.0,3388.0,2451.0,1259.0,1392.0,1512.0,1880.0,2333.0,2618.0,2829.0,2756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3127.5,2260.0,820.5,1080.5,1109.0,1548.5,2552.5,2957.5,3105.0,3214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1049.0,331.0,507.0,409.0,736.0,2527.0,3736.0,3599.0,3860.0,611.0,355.0,222.0,261.0,233.0,309.0,763.0,1146.0,1038.0,1179.0,284.0,99.0,247.0,257.0,167.0,218.0,674.0,934.0,878.0,848.0,2321.0,1075.0,676.0,819.0,610.0,985.0,3234.0,4784.0,4539.0,4965.0,3585.0,2776.0,1166.0,1390.0,1788.0,2045.0,2238.0,2342.0,2597.0,2610.0,2098.0,942.0,455.0,650.0,462.0,865.0,2915.0,4063.0,3831.0,4264.0,2079.0,1031.0,419.0,645.0,468.0,885.0,2818.0,3772.0,3786.0,3993.0,2388.0,1441.0,575.0,763.0,893.0,1319.0,2093.0,2519.0,2530.0,2879.0,2404.5,1644.5,463.5,620.5,751.5,1083.5,1616.0,1812.0,1765.5,2065.5,2476.5,1812.5,434.0,563.5,772.5,971.5,1171.5,1346.5,1538.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3473.5,2589.5,683.5,929.0,1371.5,1674.5,1792.5,1998.0,2188.5,2336.0,4368.5,3144.0,919.0,1261.0,1689.0,2161.0,2374.0,2568.5,2634.0,2912.5,3662.0,2430.0,653.5,1036.5,1145.5,1751.5,2550.0,2849.5,3055.5,3143.0,3166.0,1933.0,537.0,974.0,811.0,1586.0,2933.0,3291.0,3484.0,3582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2773.0,1505.0,489.0,917.0,724.0,1620.5,2989.0,3419.0,3747.5,3814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2795.0,1734.0,570.0,931.0,1421.0,1921.0,2369.0,2646.0,2924.0,3052.0,3443.0,2420.0,940.0,1272.0,1629.0,2115.0,2573.0,2834.0,2970.0,3197.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162.0,2264.0,645.0,941.0,1119.0,1586.0,2287.0,2496.0,2741.0,2764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,941.0,11100.0,10715.0,10620.0,10663.0,10306.0,9942.0,10311.0,9533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.0,2631.0,977.0,1149.0,1446.0,1707.0,1916.0,2095.0,2274.0,2303.0,3341.5,2518.0,892.0,1133.5,1362.5,1731.5,2099.5,2294.5,2505.5,2512.5,3223.0,2227.5,872.5,1119.5,1298.0,1761.5,2188.5,2376.5,2644.5,2599.5,2325.0,1608.0,895.0,996.0,1117.0,1415.0,1634.0,1774.0,2105.0,2032.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,1,2046.0,1311.0,514.0,757.0,863.0,1481.0,2504.5,2659.0,2897.0,2819.5,3569.0,2924.5,960.5,1264.5,1660.0,1945.5,2119.0,2240.0,2465.0,2510.5,2437.5,1639.5,657.0,870.0,1112.5,1427.0,1534.5,1677.0,1876.5,1931.0,2636.5,1824.5,908.0,1113.0,1367.5,1632.0,1810.0,2024.5,2187.0,2196.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3654.0,2787.5,984.0,1335.0,1530.0,1953.5,2688.0,3071.5,3114.0,3252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2921.5,2098.0,719.5,1008.0,941.5,1409.0,2828.5,3489.0,3647.5,3782.0,2445.5,1586.5,609.5,858.5,781.5,1206.5,2981.0,4062.5,3982.5,4303.0,2255.0,1463.0,860.0,1103.5,976.5,1301.0,2837.5,3609.0,3585.5,3824.5,3266.0,2215.0,1587.5,1681.5,1439.0,1820.0,3728.5,4787.0,4950.0,5119.0,2493.0,1776.0,634.5,869.5,1007.0,1657.5,2708.5,2932.5,3193.0,3096.5,2594.0,1587.0,644.5,959.5,873.5,1323.5,2775.5,3497.0,3555.5,3837.5,339.5,196.0,370.0,418.5,306.5,434.5,845.5,1016.5,903.0,958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.5,2215.0,722.5,908.0,1091.5,1455.0,1844.5,2152.5,2085.5,2379.0,3298.5,2578.0,762.0,1035.0,1347.5,1570.0,1972.0,2302.5,2384.5,2474.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4076.5,3494.5,1030.5,1365.0,1770.5,2092.0,2399.5,2584.5,2806.0,2905.5,4802.5,3885.0,4536.5,4588.0,4533.0,5042.0,4871.5,4722.0,5148.5,4633.5,4011.5,3338.0,1075.0,1540.5,1871.5,2313.0,2722.5,2931.5,3177.0,3141.0,4493.5,3826.0,1302.5,1772.5,2095.5,2622.0,3121.0,3351.5,3603.0,3586.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3846.5,3128.5,1005.0,1499.5,1789.5,2312.0,2946.5,3137.0,3435.5,3347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.5,1430.5,475.0,796.0,989.0,1541.0,2144.0,2437.5,2523.0,2561.5,2158.0,1400.5,523.0,829.5,1091.5,1532.0,2065.0,2276.5,2423.0,2391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.0,1408.5,630.0,882.5,1047.5,1551.5,2134.5,2353.5,2481.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.5,1121.0,10160.0,9871.0,9852.0,9891.5,9638.5,9345.5,9775.0,8984.5,2291.0,1582.5,594.5,840.5,992.0,1696.5,2507.0,2668.0,2864.5,2882.0,2344.5,1553.5,528.0,811.5,951.5,1690.5,2653.5,2859.5,3172.0,3043.5,2263.5,1444.0,595.5,889.5,1011.0,1720.0,2487.5,2684.0,3062.0,2936.0,382.5,239.5,155.5,203.0,198.0,392.5,536.0,615.0,643.5,615.5,2049.5,1489.5,634.5,775.0,977.5,1224.0,1335.5,1504.5,1607.5,1666.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,1,2526.0,1854.0,809.0,954.0,1209.0,1415.0,1481.0,1592.0,1785.0,1781.0,5194.0,4893.0,1483.0,2100.0,2743.0,3071.0,3199.0,3376.0,3584.0,3617.0,2764.0,1975.5,684.0,972.0,1220.5,1520.0,1687.0,1829.0,1944.5,2018.5,2642.0,1909.0,1069.0,1526.0,1671.0,2217.0,2428.0,2511.0,2376.0,2579.0,2680.0,1886.0,622.0,961.0,1096.0,1432.0,2006.0,2211.0,2362.0,2388.0,4789.0,4153.0,2752.0,3348.0,3674.0,4260.0,4504.0,4617.0,4716.0,4674.0,1969.0,814.0,288.0,531.0,198.0,622.0,3652.0,5323.0,5216.0,5383.0,1692.5,681.5,128.0,325.5,113.5,448.0,3231.0,5147.0,5106.5,5247.5,1626.0,674.5,195.5,365.5,196.5,463.5,2973.5,4887.0,4946.0,5161.5,1851.0,765.0,346.0,478.0,258.0,571.0,3002.0,4789.0,4621.0,4974.0,1728.0,673.0,279.0,460.5,240.0,596.5,3206.5,5015.5,5020.0,5385.0,2739.0,2184.0,767.0,951.0,1232.0,1393.0,1466.0,1570.0,1739.0,1744.0,1849.0,800.0,357.0,616.0,376.0,891.0,3228.0,4469.0,4275.0,4794.0,1947.5,959.5,431.0,738.5,615.0,1158.0,2579.0,3153.0,3230.5,3482.5,2582.5,1554.5,697.0,835.0,947.0,1352.0,1874.5,2177.5,2320.0,2564.0,2472.5,1792.5,592.0,621.0,724.5,917.5,1075.0,1265.0,1277.0,1467.5,4516.0,3752.0,1110.0,1589.0,2243.0,2610.0,2729.0,2958.0,3121.0,3302.0,3086.5,2314.5,1641.0,1743.5,1892.0,2160.5,2361.0,2482.0,2835.0,2691.0,4322.5,3503.5,1066.0,1476.0,2064.0,2402.0,2555.5,2757.5,2916.0,3058.0,3293.0,2401.0,781.0,1063.0,1346.0,1694.0,2014.0,2211.0,2218.0,2423.0,3634.0,3005.0,880.0,1224.0,1637.0,1904.0,2049.0,2232.0,2439.0,2489.0,3821.5,3067.5,960.5,1328.0,1817.0,2124.0,2321.5,2487.5,2669.0,2764.0,2831.0,2356.0,1343.0,1435.5,1607.0,1764.5,1845.5,1921.5,2074.5,2022.0,3100.0,2325.0,853.0,1133.0,1480.0,1790.0,1956.0,2120.0,2335.0,2346.0,742.0,469.0,386.0,402.0,489.0,557.0,605.0,672.0,769.0,711.0,2670.0,2000.0,728.0,1057.0,1370.0,1667.0,1977.0,2111.0,2380.0,2337.0,2853.0,2027.5,716.0,1067.5,1324.0,1715.5,2224.5,2320.0,2482.5,2575.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,1687.0,619.0,876.0,996.0,1472.0,2260.0,2476.0,2651.0,2653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,937.0,10816.0,10496.0,10428.0,10519.0,10142.0,9776.0,10172.0,9342.0,705.0,471.0,4682.0,4830.0,5059.0,5450.0,5139.0,4998.0,5154.0,4801.0,2958.0,2296.0,800.0,1067.0,1373.0,1596.0,1670.0,1817.0,2000.0,2000.0,2397.5,1827.5,1056.0,1206.0,1396.5,1578.5,1666.5,1775.0,1944.5,1905.0,2760.0,2002.0,643.0,968.0,1202.0,1533.0,1628.0,1745.0,1955.0,1959.0,2244.0,1748.0,598.0,718.0,951.0,1070.0,1172.0,1265.0,1374.0,1415.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
