system:index,cropland,d0_B11,d0_B12,d0_B2,d0_B3,d0_B4,d0_B5,d0_B6,d0_B7,d0_B8,d0_B8A,d10_B11,d10_B12,d10_B2,d10_B3,d10_B4,d10_B5,d10_B6,d10_B7,d10_B8,d10_B8A,d11_B11,d11_B12,d11_B2,d11_B3,d11_B4,d11_B5,d11_B6,d11_B7,d11_B8,d11_B8A,d12_B11,d12_B12,d12_B2,d12_B3,d12_B4,d12_B5,d12_B6,d12_B7,d12_B8,d12_B8A,d13_B11,d13_B12,d13_B2,d13_B3,d13_B4,d13_B5,d13_B6,d13_B7,d13_B8,d13_B8A,d14_B11,d14_B12,d14_B2,d14_B3,d14_B4,d14_B5,d14_B6,d14_B7,d14_B8,d14_B8A,d15_B11,d15_B12,d15_B2,d15_B3,d15_B4,d15_B5,d15_B6,d15_B7,d15_B8,d15_B8A,d16_B11,d16_B12,d16_B2,d16_B3,d16_B4,d16_B5,d16_B6,d16_B7,d16_B8,d16_B8A,d17_B11,d17_B12,d17_B2,d17_B3,d17_B4,d17_B5,d17_B6,d17_B7,d17_B8,d17_B8A,d18_B11,d18_B12,d18_B2,d18_B3,d18_B4,d18_B5,d18_B6,d18_B7,d18_B8,d18_B8A,d19_B11,d19_B12,d19_B2,d19_B3,d19_B4,d19_B5,d19_B6,d19_B7,d19_B8,d19_B8A,d1_B11,d1_B12,d1_B2,d1_B3,d1_B4,d1_B5,d1_B6,d1_B7,d1_B8,d1_B8A,d20_B11,d20_B12,d20_B2,d20_B3,d20_B4,d20_B5,d20_B6,d20_B7,d20_B8,d20_B8A,d21_B11,d21_B12,d21_B2,d21_B3,d21_B4,d21_B5,d21_B6,d21_B7,d21_B8,d21_B8A,d22_B11,d22_B12,d22_B2,d22_B3,d22_B4,d22_B5,d22_B6,d22_B7,d22_B8,d22_B8A,d23_B11,d23_B12,d23_B2,d23_B3,d23_B4,d23_B5,d23_B6,d23_B7,d23_B8,d23_B8A,d24_B11,d24_B12,d24_B2,d24_B3,d24_B4,d24_B5,d24_B6,d24_B7,d24_B8,d24_B8A,d25_B11,d25_B12,d25_B2,d25_B3,d25_B4,d25_B5,d25_B6,d25_B7,d25_B8,d25_B8A,d26_B11,d26_B12,d26_B2,d26_B3,d26_B4,d26_B5,d26_B6,d26_B7,d26_B8,d26_B8A,d27_B11,d27_B12,d27_B2,d27_B3,d27_B4,d27_B5,d27_B6,d27_B7,d27_B8,d27_B8A,d28_B11,d28_B12,d28_B2,d28_B3,d28_B4,d28_B5,d28_B6,d28_B7,d28_B8,d28_B8A,d29_B11,d29_B12,d29_B2,d29_B3,d29_B4,d29_B5,d29_B6,d29_B7,d29_B8,d29_B8A,d2_B11,d2_B12,d2_B2,d2_B3,d2_B4,d2_B5,d2_B6,d2_B7,d2_B8,d2_B8A,d30_B11,d30_B12,d30_B2,d30_B3,d30_B4,d30_B5,d30_B6,d30_B7,d30_B8,d30_B8A,d31_B11,d31_B12,d31_B2,d31_B3,d31_B4,d31_B5,d31_B6,d31_B7,d31_B8,d31_B8A,d32_B11,d32_B12,d32_B2,d32_B3,d32_B4,d32_B5,d32_B6,d32_B7,d32_B8,d32_B8A,d33_B11,d33_B12,d33_B2,d33_B3,d33_B4,d33_B5,d33_B6,d33_B7,d33_B8,d33_B8A,d34_B11,d34_B12,d34_B2,d34_B3,d34_B4,d34_B5,d34_B6,d34_B7,d34_B8,d34_B8A,d35_B11,d35_B12,d35_B2,d35_B3,d35_B4,d35_B5,d35_B6,d35_B7,d35_B8,d35_B8A,d3_B11,d3_B12,d3_B2,d3_B3,d3_B4,d3_B5,d3_B6,d3_B7,d3_B8,d3_B8A,d4_B11,d4_B12,d4_B2,d4_B3,d4_B4,d4_B5,d4_B6,d4_B7,d4_B8,d4_B8A,d5_B11,d5_B12,d5_B2,d5_B3,d5_B4,d5_B5,d5_B6,d5_B7,d5_B8,d5_B8A,d6_B11,d6_B12,d6_B2,d6_B3,d6_B4,d6_B5,d6_B6,d6_B7,d6_B8,d6_B8A,d7_B11,d7_B12,d7_B2,d7_B3,d7_B4,d7_B5,d7_B6,d7_B7,d7_B8,d7_B8A,d8_B11,d8_B12,d8_B2,d8_B3,d8_B4,d8_B5,d8_B6,d8_B7,d8_B8,d8_B8A,d9_B11,d9_B12,d9_B2,d9_B3,d9_B4,d9_B5,d9_B6,d9_B7,d9_B8,d9_B8A,.geo
47,1,2271.5,1557.5,530.0,818.5,994.0,1478.5,2126.0,2309.5,2609.0,2535.5,5446.5,5004.0,1665.0,2244.5,2823.5,3438.5,3657.5,3844.0,4022.5,4147.0,3140.0,2355.0,898.0,1196.0,1585.0,1973.0,2136.0,2320.0,2575.0,2583.0,5756.5,5277.5,1714.0,2304.5,2716.0,3409.5,3873.0,4134.5,4369.5,4461.5,3784.0,2991.0,961.0,1406.0,1640.0,2244.0,2713.0,2968.0,3201.0,3230.0,4948.5,4046.0,1324.5,1764.5,2054.5,2622.0,3996.5,4711.5,4878.0,5041.5,3255.0,2453.0,1548.0,1616.0,1532.0,2059.0,3423.0,4052.0,3991.0,4267.0,1873.0,869.0,292.0,478.0,276.0,650.0,2794.0,4271.0,4285.0,4425.0,1847.0,884.0,303.0,440.0,261.0,564.0,2859.0,4670.0,4592.0,4938.0,2091.0,1060.0,330.0,504.0,310.0,700.0,3189.0,4626.0,4723.0,4899.0,2068.0,1031.0,368.0,566.0,361.0,729.0,3056.0,4770.0,4817.0,5040.0,2526.0,1850.0,624.0,914.0,1130.0,1645.0,2265.0,2504.0,2819.0,2735.0,1981.0,948.0,345.0,538.0,313.0,719.0,3229.0,4810.0,4714.0,5157.0,2371.0,1237.0,850.0,981.0,730.0,1258.0,3105.0,4154.0,4219.0,4437.0,2658.0,1591.0,425.0,714.0,777.0,1327.0,2250.0,2726.0,2797.0,3152.0,3007.0,2356.0,612.0,818.0,971.0,1283.0,1842.0,2192.0,1803.0,2537.0,4645.5,3541.0,1129.0,1529.0,2175.5,2619.5,2806.0,3074.0,3223.0,3430.0,4016.5,3092.5,912.5,1236.0,1776.0,2095.5,2224.5,2456.5,2534.0,2779.5,3919.0,3297.0,1042.0,1365.0,1897.0,2223.0,2402.0,2623.0,2800.0,2916.0,4968.0,4526.0,1349.0,1770.0,2389.0,2766.0,2905.0,3119.0,3224.0,3470.0,5002.0,4722.0,1390.0,1841.0,2484.0,2861.0,2962.0,3196.0,3370.0,3538.0,4624.0,4334.0,1266.0,1669.0,2234.0,2591.0,2764.0,2994.0,3100.0,3251.0,1848.5,1317.0,598.5,749.5,805.0,1211.0,1812.0,1971.0,2169.5,2149.5,3197.5,2640.5,808.0,1089.0,1453.5,1768.0,1960.0,2154.0,2374.5,2445.0,4300.0,3992.5,1206.0,1604.0,1993.0,2499.0,2785.5,3067.0,3008.5,3373.0,2975.0,2228.5,644.0,976.0,1303.5,1686.5,2033.5,2194.0,2503.5,2491.5,2878.0,2163.0,591.0,927.0,1209.0,1629.0,1962.0,2152.0,2342.0,2422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2465.0,1651.0,607.0,911.0,951.0,1528.0,2288.0,2470.0,2703.0,2727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,168.0,11906.0,11382.0,11031.0,11125.0,10615.0,9904.0,10175.0,9300.0,538.0,362.0,4054.0,4359.0,4582.0,4955.0,4991.0,4957.0,5345.0,4919.0,2496.5,1730.5,637.0,958.5,1119.5,1648.0,2259.0,2485.5,2746.5,2733.5,3840.0,3140.0,1057.0,1459.0,1942.0,2409.0,2636.0,2788.0,3088.0,3114.0,3112.5,2319.0,825.0,1165.0,1589.0,1935.5,2121.0,2294.5,2468.0,2551.0,3037.0,2212.0,872.0,1171.0,1642.0,1951.0,2091.0,2280.0,2444.0,2556.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,1,2539.5,1909.5,746.0,963.0,1258.0,1491.0,1648.5,1766.0,1982.0,1981.0,5363.0,4947.0,1779.0,2312.0,2834.0,3292.0,3460.0,3669.0,3818.0,3972.0,2968.0,2172.0,881.0,1139.0,1365.0,1669.0,1987.0,2128.0,2343.0,2355.0,3182.5,2286.5,647.0,953.0,902.0,1374.5,2705.5,3163.5,3343.0,3389.5,1967.0,1081.0,283.0,522.0,364.0,773.0,2434.0,3012.0,3175.0,3156.0,2654.0,1347.0,426.0,659.0,421.0,854.0,3796.0,5057.0,5019.0,5222.0,1278.0,706.0,684.0,1018.0,1031.0,1135.0,1799.0,2165.0,1986.0,2206.0,1749.0,716.0,309.0,449.0,251.0,563.0,3098.0,5113.0,4928.0,5348.0,2258.0,924.0,342.0,563.0,315.0,724.0,3579.0,5090.0,5041.0,5277.0,1960.0,815.0,360.0,530.0,303.0,703.0,3311.0,5018.0,4975.0,5297.0,1991.0,842.0,406.0,623.0,383.0,742.0,3289.0,4950.0,4949.0,5203.0,2462.5,1815.0,800.5,1042.0,1340.0,1573.0,1759.0,1882.5,2082.0,2110.0,1995.0,836.0,418.5,633.0,377.0,846.0,3194.0,4360.0,4377.0,4728.0,2152.5,1072.0,478.0,710.0,522.0,1058.5,2554.5,3181.5,3336.0,3463.0,2516.0,2038.0,723.0,959.0,1209.0,1703.0,2366.0,2743.0,2415.0,3160.0,5147.5,3730.5,1884.5,1960.0,2581.5,3089.5,3257.5,3557.5,3685.0,3953.0,5160.0,3744.0,1223.5,1581.5,2123.0,2615.0,2993.5,3265.5,3414.0,3646.5,4566.0,3201.0,984.0,1286.0,1743.0,2237.0,2625.0,2843.0,3006.0,3183.0,4189.5,3412.0,1042.5,1350.0,1956.5,2316.0,2452.0,2657.0,2822.0,3047.5,5037.0,3715.5,1229.0,1514.5,2125.5,2510.0,2639.0,2888.0,3018.5,3285.0,4868.5,3790.0,1101.0,1403.0,1949.0,2272.0,2409.5,2622.0,2791.0,2990.0,3879.0,3265.0,1006.0,1277.0,1764.0,2031.0,2130.0,2257.0,2374.0,2517.0,3210.0,2445.5,2394.5,2394.0,2432.5,2730.5,2939.0,3025.5,3369.5,3195.5,3176.5,2399.5,896.5,1150.5,1568.0,1827.0,1940.0,2084.5,2320.0,2388.0,4352.0,3835.0,1228.0,1587.0,2003.0,2354.0,2525.0,2684.0,2902.0,2972.0,2537.0,1767.0,704.0,970.0,1349.0,1608.0,1761.0,1911.0,2190.0,2159.0,3440.0,2900.0,1063.0,1319.0,1658.0,2020.0,2149.0,2296.0,2469.0,2574.0,3040.0,2518.0,2899.0,2704.0,2674.0,3031.0,3160.0,3275.0,3324.0,3265.0,2786.0,2021.5,806.0,1044.5,1256.5,1609.0,1921.0,2102.0,2223.5,2308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,60.0,9804.0,9800.0,9749.0,9947.0,9409.0,8654.0,8832.0,8034.0,866.0,572.0,1869.0,2038.0,2261.0,2376.0,2223.0,2161.0,2289.0,2129.0,2740.0,2074.5,908.0,1158.5,1489.0,1720.0,1798.5,1891.5,2127.5,2127.0,4330.0,3970.5,2377.0,2607.0,2945.0,3178.5,3249.0,3369.5,3646.5,3570.0,3304.0,2767.0,1039.0,1314.0,1667.0,1895.0,1988.0,2117.0,2396.0,2348.0,5263.0,4455.0,1847.0,2368.0,2979.0,3309.0,3457.0,3594.0,3864.0,3921.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,1,2048.0,1344.0,703.0,908.0,1105.0,1273.0,1380.0,1466.0,1518.0,1562.0,3367.0,3041.5,1039.5,1386.0,1735.5,2033.5,2094.5,2191.0,2313.5,2376.0,2719.5,1979.5,640.5,924.0,1215.0,1466.5,1579.0,1725.5,1833.0,1889.5,3900.0,3376.5,1115.0,1603.5,1839.5,2385.5,2671.5,2772.5,2917.5,2969.0,3194.0,2583.0,926.0,1347.0,1691.0,2036.0,2172.0,2296.0,2511.0,2510.0,3753.0,3041.0,2283.0,2212.0,2139.0,2503.0,2937.0,3251.0,3769.0,3221.0,2959.0,1782.0,526.0,896.0,714.0,1276.0,3310.0,4100.0,4072.0,4147.0,2237.5,1131.0,280.0,549.0,310.5,756.5,3382.5,4733.0,4734.5,4827.5,2314.0,1323.0,460.0,660.0,518.0,1038.0,3381.0,5185.0,5033.0,5351.0,2108.0,1047.0,422.0,642.0,467.0,874.0,3195.0,4825.0,4775.0,5076.0,2062.0,977.0,415.0,593.0,432.0,803.0,3255.0,5064.0,4972.0,5330.0,3268.0,2671.0,759.0,1051.0,1316.0,1560.0,1660.0,1766.0,1946.0,1976.0,2460.5,1195.5,558.5,758.5,554.0,976.5,3515.5,5185.0,4925.5,5422.0,2273.0,1070.0,444.0,685.0,463.0,1025.0,3212.0,4582.0,4517.0,4877.0,2457.0,1371.0,526.0,792.0,620.0,1176.0,3050.0,3966.0,3895.0,4248.0,3116.0,2008.0,1375.5,1408.0,1405.5,1840.5,2679.5,3080.0,3307.5,3494.0,3254.0,2357.0,506.0,769.0,1103.0,1369.0,1775.0,1964.0,2150.0,2431.0,2657.0,1785.0,425.0,601.0,775.0,1015.0,1331.0,1519.0,1615.0,1890.0,4006.0,3458.0,1002.0,1389.0,1962.0,2257.0,2509.0,2687.0,2816.0,2966.0,3842.0,3189.0,923.0,1317.0,1748.0,2174.0,2413.0,2586.0,2583.0,2840.0,4188.0,3434.0,977.0,1424.0,1812.0,2247.0,2713.0,2915.0,2964.0,3142.0,3392.0,2519.0,706.5,1136.5,1305.0,1769.0,2537.0,2823.0,2911.0,3070.0,4057.0,3539.5,2958.0,2970.5,3076.5,3274.5,3290.5,3342.0,3632.0,3410.5,2453.0,1576.0,468.0,820.0,763.0,1344.0,2189.0,2473.0,2744.0,2772.0,3128.5,2622.0,2024.5,2029.0,2214.0,2406.0,2485.0,2612.5,2687.0,2766.0,2733.0,2055.0,608.0,928.0,1369.0,1605.0,1794.0,1872.0,2072.0,2178.0,3169.5,2547.5,735.0,1126.0,1577.5,1835.0,1927.5,2066.0,2248.5,2284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794.0,2126.0,686.0,950.0,1348.0,1568.0,1651.0,1831.0,1990.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,942.0,10796.0,10392.0,10348.0,10442.0,10078.0,9664.0,10096.0,9285.0,2340.0,1684.5,3006.5,3062.0,3232.0,3250.5,3314.0,3486.5,3790.5,3510.5,2797.0,2066.0,691.0,990.0,1272.0,1549.0,1665.0,1780.0,2018.0,1886.0,3884.0,3179.0,970.0,1257.0,1535.0,1956.0,2119.0,2266.0,2394.0,2465.0,3061.0,2289.0,671.0,950.0,1183.0,1498.0,1627.0,1745.0,1926.0,1941.0,3478.0,2794.0,867.0,1211.0,1460.0,1810.0,1946.0,2059.0,2247.0,2250.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,1,2065.0,1624.0,534.0,787.0,845.0,1290.0,1935.0,2092.0,2105.0,2089.0,4992.0,4701.0,1640.0,2189.0,2821.0,3152.0,3334.0,3501.0,3628.0,3699.0,2654.0,1887.0,760.0,973.0,1338.0,1545.0,1680.0,1782.0,1915.0,2005.0,3810.5,3161.5,1097.0,1513.0,1723.5,2241.0,2609.0,2757.0,2899.5,2958.0,2781.0,1909.0,721.0,1094.0,1324.0,1683.0,2095.0,2271.0,2417.0,2429.0,1332.0,940.0,438.0,525.0,492.0,682.0,1310.0,1623.0,1620.0,1703.0,1887.0,894.5,920.0,1022.0,729.5,1084.5,2723.5,3517.0,3781.5,3585.0,1907.0,890.0,225.0,407.0,198.0,566.0,3189.0,5028.0,5145.0,5190.0,1850.0,945.0,378.0,459.0,292.0,745.0,2876.0,4616.0,4899.0,4769.0,2041.5,973.0,405.5,541.5,361.0,757.0,2976.0,4596.0,4413.0,4857.5,1451.0,590.5,453.0,533.5,346.5,614.0,2431.5,3908.5,3904.0,4153.0,3039.0,2196.0,565.0,861.0,936.0,1485.0,2210.0,2441.0,2636.0,2645.0,1565.0,689.5,396.0,556.0,381.0,717.5,2530.5,3689.5,3667.5,3915.5,2150.0,1073.0,448.0,642.0,526.0,1033.0,3013.0,3872.0,4064.0,4267.0,3393.0,2113.0,708.0,980.0,1299.0,1810.0,2573.0,3113.0,3167.0,3685.0,3302.0,2603.0,571.0,718.0,974.0,1315.0,1473.0,1804.0,1713.0,2028.0,4778.0,3598.0,978.0,1386.0,2110.0,2541.0,2798.0,3022.0,3265.0,3553.0,4225.0,3060.0,880.0,1243.0,1829.0,2201.0,2429.0,2654.0,2839.0,3074.0,4004.5,3323.5,803.5,1069.0,1518.5,1802.0,1951.0,2124.0,2270.0,2408.5,4061.5,3743.5,1975.0,2134.5,2435.5,2878.0,3059.5,3221.0,3058.5,3413.0,4059.0,3345.0,1086.0,1491.0,1858.0,2295.0,2847.0,3107.0,3167.0,3306.0,3632.0,2727.0,928.0,1407.0,1402.0,2051.0,3116.0,3338.0,3490.0,3670.0,2878.0,1982.0,554.0,854.0,967.0,1544.0,2226.0,2427.0,2651.0,2664.0,2587.0,1619.0,566.5,905.5,926.0,1692.0,2429.5,2730.5,3014.0,3117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897.0,1978.5,619.5,998.0,1364.0,1838.5,2224.5,2430.0,2700.0,2718.0,3083.5,2245.0,667.0,1035.0,1320.0,1789.0,2257.5,2409.5,2638.5,2672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2903.0,2120.0,640.0,938.0,1048.0,1504.0,2209.0,2305.0,2588.0,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,717.0,10690.0,10398.0,10354.0,10488.0,10065.0,9682.0,10044.0,9279.0,1177.5,713.5,3851.0,3952.0,4015.5,4516.5,4832.5,4715.0,4861.0,4640.0,2985.0,2015.0,529.0,911.0,919.0,1596.0,2614.0,2922.0,3160.0,3137.0,2973.0,1917.0,647.0,1057.0,927.0,1766.0,3003.0,3370.0,3535.0,3579.0,2346.0,1356.0,527.0,1009.0,973.0,1838.0,2568.0,2808.0,3038.0,3063.0,2997.0,2058.0,754.0,1175.0,1447.0,1810.0,2011.0,2204.0,2436.0,2478.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,1,2250.0,1453.0,476.0,646.0,813.0,1140.0,1384.0,1577.0,1906.0,1914.0,4604.0,3884.0,1187.0,1528.0,1937.0,2233.0,2387.0,2589.0,2840.0,2939.0,2565.5,1658.0,657.5,825.5,950.0,1303.0,1526.5,1703.5,1902.0,2004.5,1705.0,1059.0,468.0,569.0,503.0,851.0,1140.0,1240.0,1504.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.0,2789.0,887.0,1199.0,1190.0,1620.0,3003.0,3620.0,3766.0,3831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,671.0,218.0,405.0,160.0,505.0,3260.0,5152.0,5303.0,5252.0,3923.0,3387.0,2878.0,2750.0,2448.0,2980.0,4316.0,5131.0,5136.0,5293.0,1734.0,684.0,383.0,550.0,298.0,633.0,3280.0,5277.0,5443.0,5491.0,1804.0,722.0,481.0,628.0,361.0,747.0,3264.0,5187.0,5141.0,5342.0,2901.0,2081.0,579.0,803.0,979.0,1341.0,1600.0,1806.0,2112.0,2106.0,1906.5,770.5,441.0,688.0,365.0,904.5,3632.5,5097.5,5008.0,5378.5,1812.0,806.0,436.0,792.0,436.0,1090.0,3240.0,4124.0,4142.0,4304.0,2214.0,1269.0,540.0,892.0,954.0,1621.0,2393.0,2716.0,2759.0,3100.0,3124.5,2408.5,1095.5,1290.0,1476.0,1885.5,2278.0,2565.5,2242.0,2847.0,4229.0,3199.0,970.0,1308.0,1938.0,2324.0,2476.0,2725.5,2982.0,3117.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3338.0,2550.5,976.0,1262.5,1732.5,2026.5,2113.5,2308.5,2437.5,2553.5,2178.5,1445.0,647.0,837.0,1089.0,1327.0,1454.0,1557.5,1626.5,1760.0,2930.0,2161.0,690.0,907.5,1212.5,1453.0,1651.5,1816.0,2005.0,2071.0,2671.0,2384.0,718.0,959.0,1236.0,1423.0,1599.5,1802.0,1806.0,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,2749.0,785.0,1070.0,1422.0,1651.0,1682.0,1828.0,2061.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.0,1222.0,382.0,573.0,800.0,957.0,1079.0,1177.0,1325.0,1325.0,2101.0,1494.0,471.0,670.0,944.0,1121.0,1208.0,1316.0,1467.0,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.0,1210.0,538.0,678.0,902.0,1068.0,1164.0,1271.0,1444.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,975.0,10529.0,10246.0,10278.0,10402.0,10103.0,9745.0,10152.0,9374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2689.0,1875.0,614.0,793.0,933.0,1268.0,1573.0,1788.0,2014.0,2037.0,2893.5,2005.5,611.5,837.5,997.0,1372.0,1653.5,1853.5,2084.0,2145.5,2231.0,1433.0,535.0,726.0,888.0,1241.0,1438.0,1624.0,1851.0,1920.0,2243.5,1811.0,760.5,851.0,984.0,1182.0,1281.5,1378.0,1460.0,1596.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
